Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Attention backend: flash (cuda capability 9.0)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 27047ms | tok/sec: 19,384 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 309ms | tok/sec: 1,694,128 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 311ms | tok/sec: 1,687,525 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971717 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,433 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578763 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,629 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248856 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,687 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998097 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,976 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787109 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,142 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607023 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,742 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455186 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,819 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325422 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,217 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217124 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,540 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120765 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,318 | mfu: 39.7% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034922 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,187 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962785 | lrm: 1.00 | dt: 318ms | tok/sec: 1,651,012 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.898173 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,609 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.842053 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,291 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.787540 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,559 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.738531 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,733 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.692958 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,105 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650595 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,978 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610034 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,421 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574082 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,826 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536556 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,554 | mfu: 39.4% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500684 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,530 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.467951 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,446 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.436814 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,009 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.406340 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,874 | mfu: 39.9% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.378311 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,286 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.349591 | lrm: 1.00 | dt: 356ms | tok/sec: 1,472,931 | mfu: 35.6% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.318850 | lrm: 1.00 | dt: 313ms | tok/sec: 1,676,331 | mfu: 40.5% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.288673 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,210 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.260380 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,180 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.233661 | lrm: 1.00 | dt: 314ms | tok/sec: 1,667,236 | mfu: 40.3% | epoch: 1 | remaining: 293s    
step 00034 (2.5%) | loss: 5.201770 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,673 | mfu: 39.6% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.174502 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,272 | mfu: 38.7% | epoch: 1 | remaining: 292s    
